,ML_Method,Methodology,MSE_voted_yes,F1_voted_yes,MSE_donate_gun_bin,F1_donate_gun_bin,MSE_donate_wall_bin,F1_donate_wall_bin,MSE_donate_bin,F1_donate_bin
0,logreg,1,0.3059936761856079,0.8123791102514507,0.2902208201892745,0.19298245614035087,0.24921135646687698,0.11235955056179775,0.39116719365119934,0.6352941176470588
1,dtree,1,0.3753943145275116,0.7313769751693002,0.38170347003154576,0.40975609756097564,0.33753943217665616,0.3006535947712418,0.4321766495704651,0.581039755351682
2,rf,1,0.2933754026889801,0.8172888015717094,0.2744479495268139,0.32558139534883723,0.22082018927444794,0.07894736842105264,0.3501577377319336,0.6430868167202572
3,xgb,1,0.4132492244243622,0.7082405345211582,0.3186119873817035,0.4228571428571429,0.277602523659306,0.2280701754385965,0.3817034661769867,0.6206896551724138
4,knn,1,0.3186119794845581,0.7855626326963907,0.30914826498422715,0.30985915492957744,0.24605678233438485,0.07142857142857142,0.42271292209625244,0.5037037037037038
5,ada,1,0.41640380024909973,0.7027027027027027,0.3659305993690852,0.3894736842105263,0.2586750788643533,0.18,0.3753943145275116,0.626959247648903
0,logreg,2,0.3375394344329834,0.7922330097087378,0.35331230283911674,0.0,0.2082018927444795,0.029411764705882356,0.4637224078178406,0.6981519507186859
1,dtree,2,0.42902207374572754,0.6730769230769231,0.4637223974763407,0.38493723849372385,0.3249211356466877,0.22556390977443608,0.4321766495704651,0.581039755351682
2,rf,2,0.3249211311340332,0.7952286282306162,0.28391167192429023,0.4444444444444445,0.21451104100946372,0.0,0.4069400727748871,0.6172106824925816
3,xgb,2,0.37854889035224915,0.7321428571428571,0.3501577287066246,0.4532019704433497,0.2744479495268139,0.15533980582524273,0.42271292209625244,0.6127167630057804
4,knn,2,0.4700315594673157,0.6510538641686183,0.3438485804416404,0.3144654088050315,0.2302839116719243,0.02666666666666667,0.400630921125412,0.613981762917933
5,ada,2,0.4132492244243622,0.6858513189448441,0.4195583596214511,0.3926940639269407,0.3280757097791798,0.22388059701492535,0.4637224078178406,0.5637982195845698
0,logreg,3,0.3024055063724518,0.810344827586207,0.3024054982817869,0.0,0.23711340206185566,0.0,0.4845360815525055,0.6802721088435374
1,dtree,3,0.36082473397254944,0.7300771208226221,0.4054982817869416,0.44339622641509435,0.35051546391752575,0.22727272727272724,0.43986254930496216,0.5816993464052287
2,rf,3,0.30584192276000977,0.8008948545861299,0.32989690721649484,0.29411764705882354,0.23711340206185566,0.0,0.40549829602241516,0.6569767441860466
3,xgb,3,0.3367697596549988,0.7586206896551724,0.3848797250859107,0.3846153846153846,0.29896907216494845,0.1714285714285714,0.43986254930496216,0.6049382716049383
4,knn,3,0.3711340129375458,0.7440758293838863,0.3711340206185567,0.31645569620253167,0.2542955326460481,0.0,0.47422680258750916,0.5941176470588234
5,ada,3,0.44329896569252014,0.6578249336870027,0.4536082474226804,0.31249999999999994,0.3470790378006873,0.2937062937062937,0.4810996651649475,0.5454545454545455
0,logreg,4,0.4356435537338257,0.6666666666666666,0.3564356435643564,0.0,0.18811881188118812,0.0,0.4554455578327179,0.7051282051282052
1,dtree,4,0.4356435537338257,0.6615384615384616,0.3564356435643564,0.47058823529411764,0.27722772277227725,0.125,0.3762376308441162,0.6481481481481481
2,rf,4,0.32673266530036926,0.7814569536423842,0.3069306930693069,0.4363636363636364,0.18811881188118812,0.0,0.3366336524486542,0.679245283018868
3,xgb,4,0.39603960514068604,0.7222222222222221,0.4158415841584158,0.38235294117647056,0.18811881188118812,0.23999999999999996,0.4455445408821106,0.5794392523364486
4,knn,4,0.4554455578327179,0.6166666666666667,0.3465346534653465,0.33962264150943394,0.33663366336633666,0.0,0.42574256658554077,0.5473684210526315
5,ada,4,0.40594059228897095,0.6870229007633587,0.39603960396039606,0.4736842105263158,0.2871287128712871,0.21621621621621623,0.5049505233764648,0.5233644859813084
